time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
35.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
36;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
36.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
36.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
36.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
36.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
37;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
37.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
37.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
37.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
37.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
38;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
38.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
38.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
38.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
38.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
39;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
39.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
39.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
39.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
39.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
40;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
40.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
40.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
40.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
40.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
41;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
41.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
41.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
